generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
34,kept,-25536,170,66,0,12,56,1505,6642,0,4480,3840,0.000000,0.388235,11.017647,63.400000,48.835294,0.394118,0.376471,0.352941,0.317647,0.382353,0.329412,0.876471,0.847059,16.482353,0.641176,1.088235,1.440647,4.340191,2.596267,0.058068,0.013847,0.809902,0.481436,0.934779,0.169829,0.838696,0.800565,0.236608,0.455906,0.238535,guard_captain|trade_guild|fishing_boat
35,kept,-25536,170,66,0,12,56,1505,6642,0,4480,3840,0.000000,0.388235,11.017647,63.400000,48.835294,0.394118,0.376471,0.352941,0.317647,0.382353,0.329412,0.876471,0.847059,16.482353,0.641176,1.088235,1.440647,4.340191,2.596267,0.058068,0.013847,0.809902,0.481436,0.934779,0.169829,0.838696,0.800565,0.236608,0.455906,0.238535,guard_captain|trade_guild|fishing_boat
36,kept,-25536,170,66,0,12,56,1505,6642,0,4480,3840,0.000000,0.388235,11.017647,63.400000,48.835294,0.394118,0.376471,0.352941,0.317647,0.382353,0.329412,0.876471,0.847059,16.482353,0.641176,1.088235,1.440647,4.340191,2.596267,0.058068,0.013847,0.809902,0.481436,0.934779,0.169829,0.838696,0.800565,0.236608,0.455906,0.238535,guard_captain|trade_guild|fishing_boat
37,learned,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
38,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
39,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
40,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
41,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
42,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
43,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
