generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
44,kept,-96436,1600,712,4,385,514,0.445000,10.580625,31.938750,41.045625,0.079375,0.071250,0.239375,0.211250,0.056875,0.049375,0.255000,0.250000,3.296875,0.509375,0.768125,1.721316,3.634112,2.484193,1.595129,0.093464,0.571345,0.046749,0.153944,0.040311,0.056285,0.663051,0.161537,0.754323,0.536734,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
45,kept,-96436,1600,712,4,385,514,0.445000,10.580625,31.938750,41.045625,0.079375,0.071250,0.239375,0.211250,0.056875,0.049375,0.255000,0.250000,3.296875,0.509375,0.768125,1.721316,3.634112,2.484193,1.595129,0.093464,0.571345,0.046749,0.153944,0.040311,0.056285,0.663051,0.161537,0.754323,0.536734,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
46,learned,-77130,1600,738,2,462,500,0.461250,10.362500,28.390625,38.356875,0.050000,0.043750,0.142500,0.131250,0.044375,0.042500,0.158125,0.152500,2.224375,0.376875,0.496250,1.598109,3.490520,2.330076,1.772194,0.060752,0.690857,0.030387,0.100064,0.026202,0.036585,0.780983,0.104999,0.840310,0.591376,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
47,learned,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
48,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
49,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
50,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
51,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
52,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
53,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
54,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
55,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
56,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
57,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
58,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
59,kept,-28755,1600,808,2,468,434,0.505000,10.480000,28.866875,31.746250,0.237500,0.218125,0.095000,0.088125,0.098125,0.087500,0.117500,0.115000,1.917500,0.273750,0.330625,1.484182,3.721365,2.425728,1.527660,0.039489,0.799057,0.194652,0.065041,0.051136,0.023780,0.857639,0.068249,0.596964,0.569247,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
60,learned,-11447,1600,834,6,602,473,0.521250,10.073125,29.865000,32.903750,0.171250,0.159375,0.068750,0.063125,0.067500,0.063750,0.063750,0.060625,1.298750,0.170625,0.189375,1.578058,3.755398,2.232565,1.478390,0.120428,0.869387,0.126524,0.042277,0.033238,0.015457,0.907465,0.044362,0.465280,0.519755,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
61,kept,-11447,1600,834,6,602,473,0.521250,10.073125,29.865000,32.903750,0.171250,0.159375,0.068750,0.063125,0.067500,0.063750,0.063750,0.060625,1.298750,0.170625,0.189375,1.578058,3.755398,2.232565,1.478390,0.120428,0.869387,0.126524,0.042277,0.033238,0.015457,0.907465,0.044362,0.465280,0.519755,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
62,learned,-7250,1600,835,2,608,438,0.521875,10.163125,29.288125,33.047500,0.160625,0.153125,0.073750,0.068750,0.047500,0.045000,0.052500,0.051250,1.220625,0.138750,0.151250,1.638585,3.800198,2.003493,1.559864,0.078278,0.643416,0.099849,0.040251,0.021605,0.010047,0.834086,0.028835,0.412091,0.461448,fishing_dock|fort|guard_captain|shipyard|fire_plans
