generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
199,learned,67094,500,428,1,409,0.856000,8.854000,51.024000,9.086000,1.306486,2.814268,1.874054,3.264316,0.288768,0.811952,
200,learned,71220,500,445,0,424,0.890000,8.796000,52.506000,7.386000,1.330392,2.794797,1.868630,3.247471,0.301205,0.821354,
201,kept,71220,500,445,0,424,0.890000,8.796000,52.506000,7.386000,1.330392,2.794797,1.868630,3.247471,0.301205,0.821354,
202,kept,71220,500,445,0,424,0.890000,8.796000,52.506000,7.386000,1.330392,2.794797,1.868630,3.247471,0.301205,0.821354,
203,kept,71220,500,445,0,424,0.890000,8.796000,52.506000,7.386000,1.330392,2.794797,1.868630,3.247471,0.301205,0.821354,
204,kept,71220,500,445,0,424,0.890000,8.796000,52.506000,7.386000,1.330392,2.794797,1.868630,3.247471,0.301205,0.821354,
205,kept,71220,500,445,0,424,0.890000,8.796000,52.506000,7.386000,1.330392,2.794797,1.868630,3.247471,0.301205,0.821354,
206,learned,66512,500,428,0,406,0.856000,8.826000,50.704000,9.700000,1.327618,2.828003,1.846897,3.286904,0.286144,0.828267,
207,learned,71462,500,447,0,426,0.894000,8.968000,52.298000,7.314000,1.290582,2.803960,1.825303,3.277172,0.271837,0.836853,
208,kept,71462,500,447,0,426,0.894000,8.968000,52.298000,7.314000,1.290582,2.803960,1.825303,3.277172,0.271837,0.836853,
209,learned,65742,500,425,0,407,0.850000,9.024000,49.706000,9.432000,1.327343,2.813734,1.775603,3.323303,0.269640,0.836055,
210,learned,71579,500,448,0,426,0.896000,8.866000,52.464000,7.526000,1.361523,2.852850,1.780982,3.368477,0.256158,0.844252,
211,learned,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
212,kept,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
213,kept,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
214,kept,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
215,kept,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
216,kept,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
217,kept,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
218,kept,69697,500,440,0,428,0.880000,8.794000,51.352000,7.998000,1.312457,2.887446,1.767255,3.325175,0.243350,0.850455,
