generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
45,learned,339690,1400,611,2,64,0.436429,10.287857,272.182143,51.432143,0.226429,0.184286,0.010000,0.008571,0.012143,0.009286,0.956429,0.903571,116.881429,0.465714,0.847857,2.387842,3.885236,2.211104,1.813311,0.758832,0.405585,0.110089,0.114781,0.244350,0.782451,0.992466,0.179423,0.917286,0.450135,fishing_dock|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
46,learned,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
47,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
48,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
49,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
50,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
51,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
52,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
53,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
54,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
55,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
56,kept,409408,1400,592,0,41,0.422857,10.370000,325.158571,52.363571,0.075714,0.056429,0.022857,0.015714,0.003571,0.001429,0.959286,0.893571,146.064286,0.345714,0.529286,2.300767,4.076510,2.233387,1.825782,0.843241,0.604542,0.284566,0.292208,0.236170,0.858593,0.995103,0.116625,0.946236,0.292588,fishing_dock|guard_captain|fishing_boat|fire_plans|trade_guild
